message_id,conversation_id,topic,timestamp,labeler_id,confidence
36500,0,Spam Messages,2024-01-01T00:00:00.000Z,llama3.3:latest,1.0
36501,0,Spam Messages,2024-01-01T00:00:00.000Z,llama3.3:latest,1.0
36502,1,Discussion about token giveaway,2024-01-01T00:00:00.000Z,llama3.3:latest,0.8
36503,0,Spam Messages,2024-01-01T00:00:00.000Z,llama3.3:latest,1.0
36504,2,Discussion about XTONXWHEELROBOT,2024-01-01T00:00:00.000Z,llama3.3:latest,0.9
36505,1,Discussion about token giveaway,2024-01-01T00:00:00.000Z,llama3.3:latest,0.8
36506,0,Spam Messages,2024-01-01T00:00:00.000Z,llama3.3:latest,1.0
36507,3,Discussion about $PAWS token,2024-01-01T00:00:00.000Z,llama3.3:latest,0.7
36508,2,Discussion about XTONXWHEELROBOT,2024-01-01T00:00:00.000Z,llama3.3:latest,0.9
36509,1,Discussion about token giveaway,2024-01-01T00:00:00.000Z,llama3.3:latest,0.8
36510,0,Spam Messages,2024-01-01T00:00:00.000Z,llama3.3:latest,1.0
36575,0,Spam Messages,2025-01-14T02:22:38Z,llama3.3:latest,1.0
36576,0,Spam Messages,2025-01-14T02:30:26Z,llama3.3:latest,1.0
36573,0,Spam Messages,2025-01-14T01:55:42Z,llama3.3:latest,1.0
36574,0,Spam Messages,2025-01-14T02:05:49Z,llama3.3:latest,1.0
36571,4,Discussion about token burn,2025-01-14T01:45:00Z,llama3.3:latest,0.6
36572,4,Discussion about token burn,2025-01-14T01:50:00Z,llama3.3:latest,0.6
36570,3,Discussion about $PAWS token,2025-01-14T01:40:00Z,llama3.3:latest,0.7
36569,2,Discussion about XTONXWHEELROBOT,2025-01-14T01:35:00Z,llama3.3:latest,0.9
36568,1,Discussion about token giveaway,2025-01-14T01:30:00Z,llama3.3:latest,0.8
36567,0,Spam Messages,2025-01-14T01:25:00Z,llama3.3:latest,1.0
36566,0,Spam Messages,2025-01-14T01:20:00Z,llama3.3:latest,1.0
36565,3,Discussion about $PAWS token,2025-01-14T01:15:00Z,llama3.3:latest,0.7
36564,2,Discussion about XTONXWHEELROBOT,2025-01-14T01:10:00Z,llama3.3:latest,0.9
36563,1,Discussion about token giveaway,2025-01-14T01:05:00Z,llama3.3:latest,0.8
36562,0,Spam Messages,2025-01-14T01:00:00Z,llama3.3:latest,1.0
36561,4,Discussion about token burn,2025-01-14T00:55:00Z,llama3.3:latest,0.6
36560,3,Discussion about $PAWS token,2025-01-14T00:50:00Z,llama3.3:latest,0.7
36559,2,Discussion about XTONXWHEELROBOT,2025-01-14T00:45:00Z,llama3.3:latest,0.9
36558,1,Discussion about token giveaway,2025-01-14T00:40:00Z,llama3.3:latest,0.8
36557,0,Spam Messages,2025-01-14T00:35:00Z,llama3.3:latest,1.0
36556,4,Discussion about token burn,2025-01-14T00:30:00Z,llama3.3:latest,0.6
36555,3,Discussion about $PAWS token,2025-01-14T00:25:00Z,llama3.3:latest,0.7
36554,2,Discussion about XTONXWHEELROBOT,2025-01-14T00:20:00Z,llama3.3:latest,0.9
36553,1,Discussion about token giveaway,2025-01-14T00:15:00Z,llama3.3:latest,0.8
36552,0,Spam Messages,2025-01-14T00:10:00Z,llama3.3:latest,1.0
36551,4,Discussion about token burn,2025-01-14T00:05:00Z,llama3.3:latest,0.6
36550,3,Discussion about $PAWS token,2025-01-14T00:00:00Z,llama3.3:latest,0.7
36575,0,Spam Messages,2025-01-14T02:22:38Z,llama3.3:latest,1.0
36574,0,Spam Messages,2025-01-14T02:05:49Z,llama3.3:latest,1.0
36573,0,Spam Messages,2025-01-14T01:55:42Z,llama3.3:latest,1.0
36572,4,Discussion about token burn,2025-01-14T01:50:00Z,llama3.3:latest,0.6
36571,4,Discussion about token burn,2025-01-14T01:45:00Z,llama3.3:latest,0.6
36570,3,Discussion about $PAWS token,2025-01-14T01:40:00Z,llama3.3:latest,0.7
36569,2,Discussion about XTONXWHEELROBOT,2025-01-14T01:35:00Z,llama3.3:latest,0.9
36568,1,Discussion about token giveaway,2025-01-14T01:30:00Z,llama3.3:latest,0.8
36567,0,Spam Messages,2025-01-14T01:25:00Z,llama3.3:latest,1.0
36566,0,Spam Messages,2025-01-14T01:20:00Z,llama3.3:latest,1.0
36565,3,Discussion about $PAWS token,2025-01-14T01:15:00Z,llama3.3:latest,0.7
36564,2,Discussion about XTONXWHEELROBOT,2025-01-14T01:10:00Z,llama3.3:latest,0.9
36563,1,Discussion about token giveaway,2025-01-14T01:05:00Z,llama3.3:latest,0.8
36562,0,Spam Messages,2025-01-14T01:00:00Z,llama3.3:latest,1.0
36561,4,Discussion about token burn,2025-01-14T00:55:00Z,llama3.3:latest,0.6
36560,3,Discussion about $PAWS token,2025-01-14T00:50:00Z,llama3.3:latest,0.7
36559,2,Discussion about XTONXWHEELROBOT,2025-01-14T00:45:00Z,llama3.3:latest,0.9
36558,1,Discussion about token giveaway,2025-01-14T00:40:00Z,llama3.3:latest,0.8
36557,0,Spam Messages,2025-01-14T00:35:00Z,llama3.3:latest,1.0
36556,4,Discussion about token burn,2025-01-14T00:30:00Z,llama3.3:latest,0.6
